Ekipman	Ekipman Tipi
1100015941	Pressure Transmitter
1100015954	Pressure Transmitter
1100016041	Pressure Transmitter
1100016011	Transducer
1100016022	Transducer
1100008137	RTD Temperature Element
1100008145	RTD Temperature Element
1100008152	RTD Temperature Element
1100008159	RTD Temperature Element
1100008166	RTD Temperature Element
1100008174	RTD Temperature Element
1100008243	TC Temperature Element
1100008250	TC Temperature Element
1100008264	TC Temperature Element
1100008272	TC Temperature Element
1100008286	TC Temperature Element
1100008294	TC Temperature Element
1100008308	TC Temperature Element
1100008316	TC Temperature Element
1100008330	TC Temperature Element
1100008337	TC Temperature Element
1100008351	TC Temperature Element
1100008359	TC Temperature Element
1100008374	TC Temperature Element
1100008381	TC Temperature Element
1100008394	TC Temperature Element
1100008401	TC Temperature Element
1100017050	Filled-System Temperature Transmitter
1100017111	Filled-System Temperature Transmitter
1100017140	Filled-System Temperature Transmitter
1100017170	Filled-System Temperature Transmitter
1100014001	Vibration Sensor
1100014008	Vibration Sensor
1100014016	Vibration Sensor
1100014023	Vibration Sensor
1100014032	Vibration Sensor
1100014039	Vibration Sensor
1100014045	Vibration Sensor
1100014053	Vibration Sensor
1100018908	Instrument Solenoid Valve
1100018915	Instrument Solenoid Valve
1100019028	Instrument Solenoid Valve
1100019035	Instrument Solenoid Valve
1100019043	Instrument Solenoid Valve
1100019050	Instrument Solenoid Valve
1100202792	Emergency Shut Down
1100196652	Pressure Transmitter
1100196659	Pressure Transmitter
1100196665	Pressure Transmitter
1100196671	Pressure Transmitter
1100196678	Pressure Transmitter
1100196685	Pressure Transmitter
1100196691	Pressure Transmitter
1100196697	Pressure Transmitter
1100196704	Pressure Transmitter
1100196711	Pressure Transmitter
1100196718	Pressure Transmitter
1100196723	Pressure Transmitter
1100196728	Pressure Transmitter
1100196733	Pressure Transmitter
1100196738	Pressure Transmitter
1100196744	Pressure Transmitter
1100196750	Pressure Transmitter
1100196755	Pressure Transmitter
1100196760	Pressure Transmitter
1100196766	Pressure Transmitter
1100196772	Pressure Transmitter
1100196777	Pressure Transmitter
1100196782	Pressure Transmitter
1100196788	Pressure Transmitter
1100194242	Level Transmitter
1100194243	Level Transmitter
